x,S,M,L
391.082,0.00855,-0.02718,-0.02722
398.131,0.0298,-0.00206,-0.01371
401.938,0.05397,0.00212,-0.00671
404.568,0.07033,0.00436,-0.00198
404.892,0.07375,0.00463,-0.00141
406.088,0.09786,0.00563,0.00072
409.869,0.17205,0.00933,0.00735
412.731,0.22628,0.01318,0.0123
414.259,0.27125,0.01542,0.01492
417.701,0.36587,0.02301,0.0208
420.306,0.45099,0.03083,0.02524
420.308,0.45104,0.03083,0.02524
421.837,0.49987,0.03563,0.02785
425.971,0.63946,0.04898,0.03491
430.942,0.77346,0.06551,0.04348
436.749,0.90746,0.08545,0.05372
438.501,0.94913,0.09164,0.05688
438.661,0.95195,0.09221,0.05717
439.506,0.96447,0.09523,0.05871
441.384,0.98386,0.10206,0.06216
444.405,0.99881,0.1135,0.0679
449.984,0.98149,0.13711,0.07965
455.343,0.92186,0.16477,0.0932
455.344,0.92183,0.16477,0.0932
458.702,0.86408,0.18541,0.10334
458.805,0.86217,0.18609,0.10367
465.194,0.73989,0.23149,0.12741
469.511,0.63974,0.26525,0.14665
471.082,0.60028,0.27789,0.15427
476.132,0.46625,0.32005,0.181
476.217,0.46366,0.32078,0.18147
480.343,0.34898,0.3579,0.20602
481.173,0.33325,0.36573,0.21131
488.733,0.22053,0.44406,0.26723
490.385,0.19848,0.46327,0.28195
491.995,0.17796,0.48297,0.29746
499.625,0.10325,0.58902,0.38483
501.144,0.09279,0.61138,0.404
501.205,0.09239,0.61228,0.40478
509.459,0.05139,0.73421,0.51434
510.356,0.04811,0.74809,0.5276
516.349,0.03062,0.83552,0.62213
518.608,0.02583,0.86262,0.65516
518.669,0.02571,0.8633,0.65601
528.655,0.01284,0.95175,0.77884
531.104,0.01107,0.96869,0.80934
536.4,0.00824,0.99725,0.86935
539.477,0.00695,1.00474,0.89608
543.621,0.0055,1.00216,0.92319
555.322,0.00287,0.94092,0.97422
557.281,0.00261,0.92516,0.98096
558.681,0.00246,0.91279,0.98549
568.739,0.00177,0.78992,1.00478
572.852,0.00157,0.73413,1.0021
577.964,0.00126,0.66147,0.98681
578.094,0.00125,0.65945,0.98626
585.519,0.00053,0.53302,0.94315
588.745,0.00013,0.48256,0.91831
593.908,-0.00056,0.40458,0.87213
599.961,-0.00143,0.30937,0.80706
600.472,-0.00151,0.30182,0.80102
602.298,-0.00177,0.27613,0.77881
609.695,-0.00281,0.19107,0.67815
613.19,-0.00325,0.15884,0.62521
618.085,-0.00379,0.12078,0.54971
626.473,-0.00439,0.07355,0.42684
627.414,-0.00442,0.06947,0.41315
635.698,-0.0043,0.04118,0.29839
646.59,-0.0025,0.01924,0.18111
646.638,-0.00249,0.01917,0.18066
660.817,0.00553,0.00943,0.08057
667.52,0.01485,0.00796,0.05415
680.043,0.18754,0.00469,0.02469
687.566,0.25105,0.00233,0.01536
694.905,0.32486,-0.00014,0.01023
700.092,0.38462,-0.00192,0.00789
720.972,0.69645,-0.00856,0.00226
741.851,1.13929,-0.0151,0.00222
762.73,1.73577,-0.0216,0.00217
